symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
BTCUSDT,SHORT,88028.1,87308.4550600499,0.13895741420336147,88387.92246997506,87308.4550600499,50.0,100.0,24.36431431,75.63568569,WIN,TAKE_PROFIT,2026-07-26T11:58:59.698427+00:00,2026-07-26T11:58:59.699803+00:00,10075.63568569
BTCUSDT,SHORT,86978.7,86245.72127522044,0.13746150256571607,87345.18936238978,86245.72127522044,50.37817842845,100.75635686,23.81168923,76.94466763,WIN,TAKE_PROFIT,2026-07-26T11:58:59.700217+00:00,2026-07-26T11:58:59.700392+00:00,10152.58035332
BTCUSDT,SHORT,85301.1,84248.96975556185,0.09649547104067453,85827.16512221908,84248.96975556185,50.762901766599995,101.52580353,16.36081385,85.16498969,WIN,TAKE_PROFIT,2026-07-26T11:58:59.700824+00:00,2026-07-26T11:58:59.701156+00:00,10237.74534301
SOLUSDT,SHORT,117.92,119.38930274624073,34.838787884946555,119.38930274624073,114.98139450751856,51.188726715049995,-51.18872672,8.26756846,-59.45629518,LOSS,STOP_LOSS,2026-07-26T11:58:59.701672+00:00,2026-07-26T11:58:59.701896+00:00,10178.28904783
ETHUSDT,SHORT,2838.8,2779.1224854338107,1.705548416655502,2868.638757283095,2779.1224854338107,50.891445239149995,101.78289048,9.5816388,92.20125168,WIN,TAKE_PROFIT,2026-07-26T11:58:59.702569+00:00,2026-07-26T11:58:59.702926+00:00,10270.49029951
ETHUSDT,SHORT,2802.8,2739.266317873832,1.6165425890340182,2834.566841063084,2739.266317873832,51.35245149755,102.704903,8.95898623,93.74591676,WIN,TAKE_PROFIT,2026-07-26T11:58:59.703511+00:00,2026-07-26T11:58:59.704705+00:00,10364.23621627
BTCUSDT,SHORT,81988.5,82723.97338183702,0.07045962826270408,82723.97338183702,80517.55323632597,51.821181081350005,-51.82118108,11.60557964,-63.42676073,LOSS,STOP_LOSS,2026-07-26T11:58:59.705408+00:00,2026-07-26T11:58:59.705896+00:00,10300.80945554
BTCUSDT,SHORT,82983.6,83708.31539473559,0.07106796357829795,83708.31539473559,81534.16921052885,51.5040472777,-51.50404728,11.84645497,-63.35050225,LOSS,STOP_LOSS,2026-07-26T11:58:59.706595+00:00,2026-07-26T11:58:59.708416+00:00,10237.45895329
ETHUSDT,SHORT,2736.37,2681.9893645294087,1.8825559621910628,2763.5603177352955,2681.9893645294087,51.18729476645,102.37458953,10.20036473,92.17422481,WIN,TAKE_PROFIT,2026-07-26T11:58:59.709176+00:00,2026-07-26T11:58:59.709931+00:00,10329.6331781
BTCUSDT,SHORT,82468.3,83287.66531857589,0.06303435686082963,83287.66531857589,80829.56936284823,51.6481658905,-51.64816589,10.44832067,-62.09648656,LOSS,STOP_LOSS,2026-07-26T11:58:59.710703+00:00,2026-07-26T11:58:59.710910+00:00,10267.53669154
BTCUSDT,LONG,83897.3,82968.14061816671,0.05525175170314415,82968.14061816671,85755.61876366659,51.3376834577,-51.33768346,9.21960789,-60.55729135,LOSS,STOP_LOSS,2026-07-26T11:58:59.711624+00:00,2026-07-26T11:58:59.714214+00:00,10206.97940019
